,YEAR,STATE,Cesarean Delivery Rate,"Drug Overdose Mortality per 100,000",Percent of Babies Born to Unmarried Mothers,"Suicide Mortality per 100,000","Teen Births per 1,000"
0,2005,AL,31.8,6.3,35.7,11.5,49.7
1,2005,AK,21.9,11.4,36.0,19.9,37.3
2,2005,AZ,24.7,14.1,43.1,16.4,58.2
3,2005,AR,31.5,10.1,40.2,14.3,59.1
4,2005,CA,30.7,9.0,35.7,9.1,38.8
5,2005,CO,24.6,12.7,27.1,17.2,42.6
6,2005,CT,32.4,8.5,32.2,8.1,23.3
7,2005,DE,30.0,7.5,44.3,9.7,44.0
8,2005,FL,34.9,13.5,42.8,12.5,42.4
9,2005,GA,30.5,8.2,40.6,10.6,52.7
10,2005,HI,25.6,9.4,36.3,8.2,36.2
11,2005,ID,22.6,8.1,22.9,16.5,37.7
12,2005,IL,28.8,8.4,37.1,8.6,38.6
13,2005,IN,28.2,9.8,40.2,11.8,43.2
14,2005,IA,26.7,4.8,32.5,11.2,32.6
15,2005,KS,28.9,9.1,34.2,13.3,41.4
16,2005,KY,33.9,15.3,35.5,13.4,49.1
17,2005,LA,36.8,14.7,48.0,11.0,49.1
18,2005,ME,28.3,12.4,35.0,12.4,24.4
19,2005,MD,31.1,11.4,37.1,8.4,31.8
20,2005,MA,32.2,12.0,30.2,7.2,21.8
21,2005,MI,28.8,9.8,36.6,11.0,32.5
22,2005,MN,25.3,5.4,29.8,10.5,26.1
23,2005,MS,35.1,8.8,49.4,12.7,60.5
24,2005,MO,29.7,10.7,37.8,12.5,42.5
25,2005,MT,25.8,10.1,34.6,21.7,35.2
26,2005,NE,28.6,5.0,30.9,10.9,34.2
27,2005,NV,31.0,18.7,40.9,19.8,50.1
28,2005,NH,28.0,10.7,27.3,12.0,17.9
29,2005,NJ,36.3,9.4,31.4,6.1,23.4
30,2005,NM,22.2,20.1,50.8,17.8,61.6
31,2005,NY,31.5,4.8,38.7,6.0,26.5
32,2005,NC,29.3,11.4,38.4,11.5,48.5
33,2005,ND,26.4,0.0,32.2,13.7,29.7
34,2005,OH,28.1,10.9,38.9,11.5,38.9
35,2005,OK,32.5,13.8,39.1,14.8,54.2
36,2005,OR,27.6,10.4,33.3,14.9,33.0
37,2005,PA,28.9,13.2,36.5,11.1,30.4
38,2005,RI,30.3,14.3,38.5,6.3,31.4
39,2005,SC,32.7,9.9,43.3,11.8,51.0
40,2005,SD,25.1,5.5,36.2,15.4,37.5
41,2005,TN,31.1,14.5,40.2,14.0,54.9
42,2005,TX,32.6,8.5,37.6,10.9,61.6
43,2005,UT,21.6,19.3,17.7,15.4,33.4
44,2005,VT,25.9,8.5,32.3,12.5,18.6
45,2005,VA,31.4,7.5,32.2,11.2,34.4
46,2005,WA,27.8,13.0,30.9,12.8,31.1
47,2005,WV,34.2,10.5,36.5,13.2,43.4
48,2005,WI,23.7,9.3,32.5,11.6,30.3
49,2005,WY,24.6,4.9,32.8,17.3,43.2
50,2014,AL,35.4,15.2,43.3,14.5,32.0
51,2014,AK,23.7,16.8,35.6,22.1,27.8
52,2014,AZ,27.8,12.6,45.1,18.0,29.9
53,2014,AR,32.0,18.2,43.9,17.3,39.5
54,2014,CA,32.7,11.1,38.8,10.5,21.1
55,2014,CO,25.6,16.3,22.4,19.9,20.3
56,2014,CT,34.2,17.6,37.1,9.8,11.5
57,2014,DE,31.5,20.9,46.6,13.2,20.7
58,2014,FL,37.2,13.2,47.9,13.9,22.5
59,2014,GA,33.8,11.9,45.4,12.6,28.4
60,2014,HI,24.6,10.9,37.1,13.8,23.1
61,2014,ID,24.2,13.7,27.8,20.0,23.2
62,2014,IL,31.2,13.1,40.1,10.5,22.8
63,2014,IN,30.3,18.2,43.3,14.3,28.0
64,2014,IA,30.0,8.8,35.1,12.9,19.8
65,2014,KS,29.8,11.7,36.5,15.7,27.6
66,2014,KY,35.1,24.7,41.9,15.9,35.3
67,2014,LA,38.3,16.9,52.7,14.3,35.8
68,2014,ME,29.8,16.8,41.2,15.7,16.5
69,2014,MD,34.9,17.4,39.7,9.8,17.8
70,2014,MA,31.6,19.0,33.2,8.2,10.6
71,2014,MI,32.8,18.0,41.8,13.3,21.1
72,2014,MN,26.5,9.6,32.3,12.2,15.5
73,2014,MS,37.7,11.6,54.0,12.5,38.0
74,2014,MO,30.1,18.2,40.2,16.3,27.2
75,2014,MT,31.4,12.4,36.9,23.9,26.4
76,2014,NE,30.8,7.2,33.0,13.4,22.2
77,2014,NV,34.4,18.4,45.8,19.6,28.5
78,2014,NH,29.9,26.2,33.7,17.8,11.0
79,2014,NJ,37.4,14.0,35.5,8.3,13.1
80,2014,NM,23.8,27.3,51.3,21.0,37.8
81,2014,NY,33.9,11.3,39.6,8.1,16.1
82,2014,NC,29.5,13.8,41.0,13.0,25.9
83,2014,ND,27.6,6.3,32.4,17.8,23.9
84,2014,OH,30.5,24.6,43.5,12.6,25.1
85,2014,OK,33.1,20.3,42.2,19.1,38.5
86,2014,OR,27.4,12.8,36.1,18.6,20.0
87,2014,PA,30.4,21.9,41.0,13.3,19.3
88,2014,RI,30.7,23.4,45.4,10.1,15.8
89,2014,SC,34.3,14.4,47.3,15.2,28.5
90,2014,SD,24.8,7.8,37.7,17.1,26.2
91,2014,TN,33.7,19.5,44.0,14.1,33.0
92,2014,TX,34.9,9.7,41.7,12.2,37.8
93,2014,UT,22.3,22.4,18.6,20.5,19.4
94,2014,VT,25.8,13.9,39.5,18.7,14.2
95,2014,VA,33.1,11.7,33.9,12.9,18.4
96,2014,WA,27.6,13.3,32.1,15.2,19.1
97,2014,WV,35.4,35.5,44.9,18.1,36.6
98,2014,WI,26.1,15.1,37.8,13.1,18.0
99,2014,WY,27.8,19.4,33.2,20.6,30.1
100,2015,AL,35.2,15.7,43.9,14.9,30.1
101,2015,AK,22.9,16.0,36.1,26.9,29.3
102,2015,AZ,27.6,19.0,45.5,18.2,26.3
103,2015,AR,32.3,13.8,45.0,19.1,38.0
104,2015,CA,32.3,11.3,38.8,10.3,19.0
105,2015,CO,25.9,15.4,22.7,19.5,19.3
106,2015,CT,34.0,22.1,37.5,9.9,10.1
107,2015,DE,31.9,22.0,46.3,12.6,18.1
108,2015,FL,37.3,16.2,47.8,14.4,20.8
109,2015,GA,33.6,12.7,45.2,12.7,25.6
110,2015,HI,25.9,11.3,37.1,13.5,20.6
111,2015,ID,24.4,14.2,27.7,22.1,22.5
112,2015,IL,31.0,14.1,40.4,10.3,21.1
113,2015,IN,29.6,19.5,43.3,14.4,26.0
114,2015,IA,29.8,10.3,35.3,13.9,18.6
115,2015,KS,29.6,11.8,36.0,16.3,25.5
116,2015,KY,34.4,29.9,41.6,17.1,32.4
117,2015,LA,37.5,19.0,52.9,15.2,34.1
118,2015,ME,29.4,21.2,40.5,16.0,15.4
119,2015,MD,34.9,20.9,40.1,8.8,17.0
120,2015,MA,31.4,25.7,33.4,8.9,9.4
121,2015,MI,31.9,20.4,41.9,13.8,19.4
122,2015,MN,26.5,10.6,32.2,13.2,13.7
123,2015,MS,38.0,12.3,53.5,14.0,34.8
124,2015,MO,30.3,17.9,40.4,17.1,25.0
125,2015,MT,29.7,13.8,36.3,25.3,25.3
126,2015,NE,31.1,6.9,32.9,11.7,22.0
127,2015,NV,34.6,20.4,46.7,18.4,27.6
128,2015,NH,30.8,34.3,34.0,16.5,10.9
129,2015,NJ,36.8,16.3,35.1,8.3,12.1
130,2015,NM,24.3,25.3,52.1,23.7,34.6
131,2015,NY,33.8,13.6,39.5,7.8,14.6
132,2015,NC,29.3,15.8,41.0,13.4,23.6
133,2015,ND,27.5,8.6,31.6,17.5,22.2
134,2015,OH,30.4,29.9,43.3,13.9,23.2
135,2015,OK,32.4,19.0,41.8,20.3,34.8
136,2015,OR,27.1,12.0,36.0,17.8,19.0
137,2015,PA,30.1,26.3,41.2,14.0,17.7
138,2015,RI,30.6,28.2,45.1,11.2,14.3
139,2015,SC,33.7,15.7,46.5,14.8,26.2
140,2015,SD,25.7,8.4,37.2,20.4,26.4
141,2015,TN,33.2,22.2,43.9,15.7,30.5
142,2015,TX,34.4,9.4,41.5,12.5,34.6
143,2015,UT,22.8,23.4,18.8,22.4,17.6
144,2015,VT,25.5,16.7,40.2,14.8,11.6
145,2015,VA,32.9,12.4,34.4,12.7,17.1
146,2015,WA,27.5,14.7,32.1,15.4,17.6
147,2015,WV,34.9,41.5,43.8,17.4,31.9
148,2015,WI,26.2,15.5,37.5,14.7,16.2
149,2015,WY,27.3,16.4,33.9,28.0,29.2
150,2016,AL,34.4,16.2,44.7,15.7,28.4
151,2016,AK,23.0,16.8,36.1,25.8,25.8
152,2016,AZ,27.5,20.3,45.0,17.7,23.6
153,2016,AR,32.3,14.0,44.5,18.2,34.6
154,2016,CA,31.9,11.2,38.2,10.5,17.0
155,2016,CO,26.2,16.6,22.5,20.5,17.8
156,2016,CT,35.4,27.4,36.9,10.1,9.4
157,2016,DE,31.8,30.8,45.8,11.5,19.5
158,2016,FL,37.4,23.7,46.9,14.0,19.3
159,2016,GA,33.8,13.3,44.9,13.3,23.6
160,2016,HI,25.2,12.8,37.0,12.1,19.2
161,2016,ID,23.9,15.2,27.6,21.4,20.1
